region_administrative;longitude;latitude
estrie;-71.932146;45.372704
centre_du_quebec;-72.154721;46.083512
monteregie;-73.330627;45.342295
laval;-73.748455;45.587598
montreal;-73.667431;45.495742
saguenay_lac_saint_jean;-71.248909;48.389672
mauricie;-73.552008;47.569534
lanaudiere;-73.881598;46.385263
outaouais;-76.688572;46.409138
capitale_nationale;-71.298946;47.376245
gaspesie_iles_de_la_madeleine;-65.0571;48.652927
laurentides;-75.164531;46.709599
abitibi_temiscamingue;-78.066214;47.807877
bas_saint_laurent;-68.484619;48.1923
